category,feature,status,evidence,files,tables,works,gap,risk,solution,priority
"1 Exam management","Exam creation","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23","online_exams; online_exam_questions; subjects; classes / online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects","Admin/teacher creation and draft configuration exist; types cat/midterm/final/quiz/assignment.","Teacher edit 500 and publication bypass undermine full lifecycle; instruction text has no immutable version.","Configured exam may be unusable or change after publication.","Repair request binding; one validated lifecycle service; snapshot instructions.","HIGH"
"1 Exam management","Draft exams","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23","online_exams; online_exam_questions; subjects; classes / online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects","Admin/teacher creation and draft configuration exist; types cat/midterm/final/quiz/assignment.","Teacher edit 500 and publication bypass undermine full lifecycle; instruction text has no immutable version.","Configured exam may be unusable or change after publication.","Repair request binding; one validated lifecycle service; snapshot instructions.","HIGH"
"1 Exam management","Exam types","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23","online_exams; online_exam_questions; subjects; classes / online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects","Admin/teacher creation and draft configuration exist; types cat/midterm/final/quiz/assignment.","Teacher edit 500 and publication bypass undermine full lifecycle; instruction text has no immutable version.","Configured exam may be unusable or change after publication.","Repair request binding; one validated lifecycle service; snapshot instructions.","HIGH"
"1 Exam management","Instructions","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23","online_exams; online_exam_questions; subjects; classes / online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects","Admin/teacher creation and draft configuration exist; types cat/midterm/final/quiz/assignment.","Teacher edit 500 and publication bypass undermine full lifecycle; instruction text has no immutable version.","Configured exam may be unusable or change after publication.","Repair request binding; one validated lifecycle service; snapshot instructions.","HIGH"
"1 Exam management","Scheduled exams","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / online_exam_submissions; online_exams","Published exams derive active/ended from start/end; start checks schedule.","No explicit scheduled transition; exact-close inconsistency and no after-lock window recheck.","Boundary starts and timezone ambiguity.","Explicit time contract and authoritative checks inside transaction.","HIGH"
"1 Exam management","Active exams","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / online_exam_submissions; online_exams","Published exams derive active/ended from start/end; start checks schedule.","No explicit scheduled transition; exact-close inconsistency and no after-lock window recheck.","Boundary starts and timezone ambiguity.","Explicit time contract and authoritative checks inside transaction.","HIGH"
"1 Exam management","Availability windows","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / online_exam_submissions; online_exams","Published exams derive active/ended from start/end; start checks schedule.","No explicit scheduled transition; exact-close inconsistency and no after-lock window recheck.","Boundary starts and timezone ambiguity.","Explicit time contract and authoritative checks inside transaction.","HIGH"
"1 Exam management","Published exams","BROKEN","E02: Create/update/publish source; runtime-probes.json","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/","online_exams; online_exam_questions; subjects; classes","Dedicated publish checks question count/mark total.","Store/update can directly publish empty exam; toggle bypasses guarded unpublish.","Invalid exams delivered or active candidates stranded.","Centralize transitions/readiness; replace GET mutation.","HIGH"
"1 Exam management","Closed exams","PARTIAL","E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exam_submissions; online_exams","End window prevents new late starts.","No deliberate close workflow/expiry sweeper; active saves use frozen deadline.","Abandoned attempts remain active.","Server expiry service and explicit close semantics.","HIGH"
"1 Exam management","Marking state","BROKEN","E09: Marking/finalization trace; both runtime probe artifacts / E12: Result visibility and presentation source; premature-result/finalize probes","app/Http/Controllers/OnlineExamController.php:1046-1138,1548-1588,1604-1814; app/Http/Requests/OnlineExam/{SubmitOnlineExamRequest,ManualMarkAnswerRequest}.php; resources/views/student/online_exam/take.blade.php:144-149 / app/Models/OnlineExam.php:isResultVisibleFor; app/Models/OnlineExamSubmission.php; app/Http/Controllers/OnlineExamController.php:1569-1693; resources/views/{student,admin,teacher}/online_exam/results.blade.php (student uses result.blade.php)","online_exam_submissions; online_exam_answers; online_exam_questions / online_exam_submissions; online_exam_answers; online_exams","pending_manual_marking/finalized attempt values exist.","Exam-level and result publication states conflated; incomplete grading can be exposed.","Incorrect official outcome.","Separate attempt, grading and publication states.","CRITICAL"
